Original conversation,first_question,facts,city,state
"You: My dog bit my neighbor and he called my landlord, can I get evicted?
Bot: Yes�under ORS 90.396 a landlord may give a 24-hour termination notice if a tenant�s pet �inflicts any substantial personal injury upon a person on the premises other than the tenant.� You can avoid eviction by permanently removing the dog from the property before the deadline in that notice; if the dog returns, the landlord can terminate without another chance to cure.

Have you received a written notice from your landlord yet?
You: yes
Bot: Did the notice clearly state 1) what happened (your dog bit the neighbor), 2) that the tenancy will end at least 24 hours after you got the notice, and 3) that you can stop the eviction by permanently removing the dog before that deadline?
You: not 3
Bot: Good: the notice is probably defective. ORS 90.396(2) says that if eviction is based on a pet bite, the notice must tell you that you can stop the eviction by permanently removing the dog before the deadline; if it doesn�t, it�s invalid and the landlord has to start over.

Quick step: send the landlord a dated note�keep a copy�stating that the notice fails to offer the required cure and is therefore void, and (if true) that the dog is now off-premises. If the landlord still tries to evict you, raise this defect as a defense.

Did the notice at least give you 24 hours before the stated termination time?
You: yes
Bot: Under ORS 90.396(2) a 24-hour pet-bite notice is valid only if it:

1. Describes the bite; 
2. States the exact termination date/time (? 24 hrs away); and 
3. Tells you that you can avoid eviction by permanently removing the dog before that deadline.

Because your notice lacks #3, it�s legally defective�your landlord must serve a new, proper notice before evicting.

Put in writing (keep a copy) today:

� that the notice is defective for omitting the cure language, and 
� whether the dog has already been removed (if true).

Give it to the landlord right away (hand-deliver, email + mail, etc.).

If the landlord still files an eviction, raise this defect as a defense in court.

Have you already removed the dog from the property?
You: not yet, but Im making a plan
Bot: Great. When exactly does the 24-hour deadline in the notice expire?
You: 8pm today
Bot: Can you get the dog permanently off the premises before 8 p.m. today?
You: yes
Bot: Please be sure you can hand-deliver (or otherwise get) a short written note to the landlord before 8 p.m. saying the dog has been permanently removed � do you have a way to do that in time?
You: yes
Bot: <html>
<head>
<title>Internal Server Error</title>
</head>
<body>
<h1><p>Internal Server Error</p></h1>

</body>
</html>","My dog bit my neighbor and he called my landlord, can I get evicted?","[""Tenant�s dog bit a neighbor on the premises."", ""Landlord served Tenant with a 24-hour termination notice citing the dog bite."", ""The notice describes the bite and sets a termination time of 8 p.m. today, at least 24 hours after service."", ""The notice fails to say Tenant can avoid eviction by permanently removing the dog, making it defective."", ""Tenant has received the notice."", ""Tenant has not yet removed the dog but plans to do so before the 8 p.m. deadline.""]",,"OR"
"You: My cat ruined the living room carpet and subfloor with peeing and my landlord wants to evict me for it, can I do anything, what if I help pay for repairs?
Bot: First, did the landlord give you a written termination notice? 
� If yes, what dates, reason and �right-to-cure� deadline does it list?
You: it has no right to cure but says "" tenant�s pet inflicts substantial damage to the premises on more than one occasion"" and it was provided this morning 5/22
Bot: Did the landlord ever give you a prior written warning (or 30-day notice) about pet damage within the last six months?
You: I was warned about pet damage 2 months ago
Bot: Did the paper you got actually state a date and clock-time (at least 24 hours after delivery) when your tenancy will end?
You: tomorrow at 4pm
Bot: Key points under ORS 90.396 and 90.405

1. Proper notice 
� A 24-hour �pet damage� notice is allowed only if: 
� Your pet caused substantial damage on more than one occasion, AND 
� The notice (a) lists enough facts to let you identify each incident and (b) states clearly that you can avoid termination by removing the pet before the deadline. 
� If the notice lacks either of those items, it is defective and cannot be the basis for an eviction.

2. Right to cure by removing the cat 
� Even when there has been repeat damage, you may stop the eviction simply by permanently removing the cat from the premises before tomorrow at 4 p.m. ORS 90.396(2). 
� The statute does not require advance payment for repairs, only removal of the animal.

3. Paying for repairs 
� You remain liable for all proven repair costs (90.401), but offering to pay does not guarantee the landlord must withdraw the notice. 
� Still, put any offer to pay in writing�some landlords will rescind the notice or sign a written settlement if they know the damage will be fixed and the pet is gone.

4. If the landlord files an eviction case (FED) 
� Raise these defenses: (a) notice is defective (if it omitted facts or the cure language), (b) you removed the pet before the deadline, (c) you offered reasonable payment for damages. 
� Bring proof: vet records or photos showing the cat is gone, your written offer to pay, etc.

5. Practical next steps � act fast 
� Move the cat out today and give the landlord dated written confirmation (�Cat removed permanently as of ___�). 
� Ask in writing for an itemized repair bill and offer a payment plan. 
� Keep a copy of everything you give the landlord. 
� If the landlord sues anyway, take your papers to court and state the defenses above.

If the notice is clearly defective or the landlord refuses to accept cure, you can ask the court to dismiss the case and you may seek your attorney fees under ORS 90.255.","My cat ruined the living room carpet and subfloor with peeing and my landlord wants to evict me for it, can I do anything, what if I help pay for repairs?","[""Tenant�s cat ruined the living-room carpet and subfloor by urinating."", ""Landlord served Tenant with a 24-hour pet-damage termination notice on May 22."", ""The notice states the cat caused substantial damage on more than one occasion and provides no right to cure."", ""The notice sets a termination deadline of 4 p.m. tomorrow (about 24 hours after delivery)."", ""Tenant received a prior written warning about pet damage two months ago.""]",,"OR"
"You: I accidentally left an old theft charge off of my rental application and my landlord recently found out and is trying to evict me 
Bot: When did you first apply for and sign your current rental agreement (month and year)?
You: 8 months ago I signed a month to month lease
Bot: Was that old theft matter a CONVICTION, and has the landlord given you a written 24-hour termination notice that cites providing �substantial false information� under ORS 90.396?
You: yes
Bot: Do you know the exact date the landlord first learned about the conviction, and how many days later they served the 24-hour notice?
You: I dont know when he found out but he called to ask me about it last week
Bot: Thanks. To see if the notice is even valid, please tell me the CALENDAR DATE you actually received (or were handed/mailed) the 24-hour termination notice.
You: 5/22/25
Bot: Key things to check�any one of these flaws makes the 24-hour notice void and you can ask the judge to dismiss the eviction:

1. Timeliness 
� ORS 90.396(1)(e) lets a landlord use a 24-hour notice only if the notice is served �within 30 days after discovering� the false info. Nail the landlord down (in writing) on the exact day they first learned of the theft. If it was before 4/22/25, the notice is untimely.

2. Notice contents 
� Must be WRITTEN and state the specific false statement (�no convictions� etc.), that it was �intentional,� and that the tenancy ends 24 hours after service. Missing any of that = invalid. 
� Must show a termination DATE and TIME. 
� Must say you have no right to cure.

3. Service method 
� Hand-delivered, posted + mailed, or mailed per ORS 90.155. If they only phoned or emailed you, it�s void.

4. Materiality 
� The landlord must prove the old conviction was �material to acceptance.� If you can show they�d have rented to you anyway (e.g., written policy, similar tenant accepted), you win.

5. Older than 5 years? 
� Under ORS 90.303 the landlord can use only certain older convictions. If the theft is 5+ years before your application, raise that defense.

What to do now

� Immediately (today) send the landlord a dated note: �Please state in writing the exact date you first learned of my 20__ theft conviction.� Keep a copy.

� If they file an eviction (FED) in court, go to the first appearance and tell the judge the notice is defective for the reasons above. Bring the note you sent and any proof of earlier knowledge.

� If the judge finds the notice invalid, the case is dismissed and you stay.

Need help arguing the technicalities? Call Oregon Law Center (503-123-4567).",I accidentally left an old theft charge off of my rental application and my landlord recently found out and is trying to evict me,"[""Tenant signed a month-to-month lease eight months ago."", ""Tenant omitted an old theft conviction from their rental application."", ""Landlord has discovered the theft conviction and is seeking eviction."", ""Landlord served Tenant with a 24-hour termination notice on 2025-05-22 citing provision of substantial false information."", ""Tenant does not know the exact date the landlord learned of the conviction but was phoned about it last week."", ""The theft incident at issue was a conviction.""]",,"OR"
"You: I made weed tincture and resin in my apartment and my neighbors complained about the smell. I got an eviction notice, but weed is legal and I wasn�t smoking indoors?
Bot: Quick question first: what exactly does the notice say�does it cite �24-hour termination for drug or alcohol violations� under ORS 90.398, or a 30-day �for-cause� notice under ORS 90.392?
You: it says Manufacture of a cannabinoid extract
Bot: To see if the landlord�s �cannabinoid-extract� label really applies, I need one detail: 
What method did you use�did you run the cannabis through a solvent such as alcohol, butane, CO?, etc., or did you just use heat/pressure or soak it in oil/glycerin?
You: I used alcohol 
Bot: Quick check: do you have either (a) an OLCC processing license or (b) an OHA medical-card registration that allows you to make extracts for personal medicinal use?
You: no, I did not know I needed one for personal extracts
Bot: How much time does the notice give you to move out (24 hours, 30 days, something else)?
You: 24 hour notice
Bot: Key technical points that can beat a 24-hour �cannabinoid-extract� eviction:

1. Wrong statute? 
� ORS 90.396 (1)(f)(C) only applies if you made a �cannabinoid extract� as that term is defined in ORS 475C.009. 
� An �extract� is made with hydro-carbon, CO? or other highly volatile solvents. A simple soak in food-grade ethanol (tincture) is normally classified as a �cannabinoid concentrate/tincture,� which state law lets adults make at home (ORS 475C.257). 
? If you used plain drinking alcohol and no pressurized or hydro-carbon process, argue in court that the notice cites the wrong statutory basis, so the 24-hour termination is void.

2. Defective notice? 
� ORS 90.396 requires the notice to state specific facts (dates, what you did, why it qualifies as an illegal extract) and give at least 24 hours before the stated termination time. 
� If the notice is vague (�manufacture of extract � neighbors smelled weed�) or was served incorrectly (see ORS 90.150 & 90.155), it is invalid.

3. No right to cure only if 90.396 really applies. 
� If the activity is only a minor lease violation (odor, minor drug rule breach), landlord must use a 30-day for-cause notice under ORS 90.392, which gives you at least 14 days to fix the problem. Jumping straight to 24 hours is an overstep.

Next steps fast:
� Keep paying rent. Accepting rent after a bad notice often waives the notice (ORS 90.412). 
� Photograph the notice, envelope and your equipment (show plain ethanol, no risky setup). 
� Take everything flammable/solvent out of the unit now�so the judge sees no ongoing problem. 
� Go to the FED (eviction) first appearance and tell the clerk you will raise a �defective notice� defense. Bring the statutes above and any proof of your method.

If the landlord re-issues a proper 30-day notice later, you still gain time and the right to cure.

Need more help? Call the Oregon Law Center tenant hotline quickly: 503-123-4567.","I made weed tincture and resin in my apartment and my neighbors complained about the smell. I got an eviction notice, but weed is legal and I wasn’t smoking indoors?","[""Tenant created cannabis tincture and resin in the apartment using alcohol as the solvent."", ""Neighbors complained to the landlord about the smell."", ""Landlord served Tenant with a 24-hour eviction notice citing manufacture of a cannabinoid extract."", ""The notice gives Tenant only 24 hours to move out."", ""Tenant does not have an OLCC processing license or OHA medical registration to make extracts."", ""Tenant indicates they were not smoking marijuana indoors.""]",,"OR"
"You: I sent my landlord half of my rent and was going to send him the rest this week but I couldn�t get the funds together. Now he is trying to evict me 
Bot: Key point: If your landlord took a partial rent payment AFTER giving you a written non-payment notice, the landlord may have waived (given up) the right to evict unless the notice and a written agreement met very specific rules in ORS 90.417.

My question: Did you get a written �10-day� or �13-day� non-payment notice, and did the landlord accept your half-rent before or after that notice was given?
You: 10 day notice and the payment was accepted before the notice
Bot: When did you actually receive the 10-day notice, and what �pay-by� date does the notice list?
You: I received the notice on 5/15 and the pay by date is 5/25
Bot: Thanks. Next thing to check: How did you actually get that 5/15 notice�was it handed/posted on your door only, or was it also sent by regular mail?
You: both
Bot: Did you and the landlord � in writing or in a text/email � set a specific date by which you�d pay the remaining rent when he took your half-payment, or did he just take the money with no formal agreement about the balance?
You: he took the money and then several days later served the notice.
Bot: Good news: Under ORS 90.417(4), if a landlord takes a partial rent payment before giving the 10-day non-payment notice�and there was NO written agreement that you�d pay the rest by a certain date�the landlord waives the right to end the tenancy for that month�s rent.

What to do now:

1. Write the landlord (email or text is fine) something like:
�On [date] you accepted $____ as partial May rent and gave no written agreement for the balance. Under ORS 90.417(4) your acceptance waives the 5/15 termination notice. Please confirm the notice is withdrawn.�

2. Keep proof you sent that message and a copy of the statute (ORS 90.417).

3. If the landlord files an eviction (FED) anyway, appear in court and tell the judge:
� Landlord took a partial May rent payment on [date]. 
� No written agreement existed about when the rest was due. 
� The 5/15 notice is therefore void under ORS 90.417(4). 
Bring your receipt or other proof of payment and your written message.

4. Continue saving for the balance; paying it eliminates any argument about �re-notice� next month.

Need help in court? Call your local legal aid office right away and take your payment proof and notice with you.",I sent my landlord half of my rent and was going to send him the rest this week but I couldn’t get the funds together. Now he is trying to evict me,"[""Tenant paid only half of the monthly rent."", ""Landlord accepted the half-rent payment before serving any notice."", ""Landlord later served Tenant with a 10-day non-payment eviction notice."", ""Tenant received the 10-day notice on May 15 with a pay-by date of May 25."", ""Notice was delivered both by posting on the door and by regular mail."", ""No written agreement set a deadline for Tenant to pay the remaining balance.""]",,"OR"
"You: I received an eviction notice and within the time I was able to pay half the funds, now what?
Bot: Key issue: a non-payment notice is cured only by paying the FULL amount stated in the notice by the cure deadline (ORS 90.394). Paying just half does NOT automatically stop the eviction unless the landlord:

1. accepted the partial payment in writing AND
2. gave you extra time (in writing) to pay the balance (ORS 90.417 (4)(a)).

Question: Did the landlord take your half-payment and, in writing, agree on a date for you to pay the rest?
You: no
Bot: Did the landlord keep or cash the half-payment, or did they return it to you?
You: they still have it
Bot: Have you received a court summons or hearing date for an eviction case yet?
You: not yet
Bot: Good�if the landlord kept that money without any written �partial-payment� agreement, ORS 90.417(4) says the non-payment notice is waived. 

Make sure you keep proof (receipt, copy of check or online payment) that the landlord accepted it. 

If the landlord serves a NEW notice for the balance or files a case, you can raise this waiver as a defense.","I received an eviction notice and within the time I was able to pay half the funds, now what?","[""Tenant received an eviction notice for non-payment of rent."", ""Tenant was able to pay only half of the rent amount within the notice period."", ""Landlord accepted the half-payment but did not provide a written agreement specifying a date to pay the balance."", ""Landlord has not yet returned the partial payment and still has it."", ""Tenant has not yet received a court summons or hearing notice for eviction.""]",,"OR"
"You: My landlord is in foreclosure and the bank used my security depsoit to cover what the landlord owes, does that mean I�ve paid my rent for the month?
Bot: No�your rent isn�t automatically paid just because a bank grabbed the security deposit. 
1. Under ORS 90.300(17), a security deposit isn�t �garnishable� property, so the landlord shouldn�t have let it go. 
2. You may, however, choose to apply that deposit to rent yourself if you�ve already received a foreclosure notice (ORS 90.367). To do that, give the landlord written notice saying you�re applying the deposit to this month�s rent. 
3. If you don�t give that written notice, you still owe the rent and the landlord must let you restore the deposit within 30 days. 

Do you want help drafting the notice?
You: yes please
Bot: Sample letter � adapt the parts in [brackets] 

Date: ______________________ 

To: [Landlord�s name] 
[Landlord�s mailing address] 

Re: Application of security deposit to rent � ORS 90.367 

I am the tenant of [rental address & unit/space #]. 
On [date you received the notice], I received written notice that the property is in foreclosure. 

Under ORS 90.367(1) I am applying my security deposit of $__________ to my rent for the month of __________ 20____. 

Please confirm the credit and advise me of any remaining balance, if any. 

Sincerely, 

________________________ 
[Tenant�s printed name] 
[Tenant�s phone / e-mail]","My landlord is in foreclosure and the bank used my security depsoit to cover what the landlord owes, does that mean I’ve paid my rent for the month?","[""Tenant�s landlord is in foreclosure."", ""Bank took Tenant�s security deposit to satisfy landlord�s debt."", ""Tenant has not yet given written notice to apply the deposit to rent."", ""Tenant has received written notice that the property is in foreclosure."", ""Tenant is considering applying the security deposit to this month�s rent.""]",,"OR"
"You: Ive been evicted, what happens now with the rent I owed?
Bot: You remain liable only for rent that accrued up to the date the landlord got possession (or until a new tenant moved in, whichever came first). Within 31 days the landlord must:

1. Apply your security deposit and any prepaid rent to what you owe.
2. Send you a written accounting and any refund.

If a court entered a money judgment for back rent, that amount can be collected just like any other judgment (wage or bank garnishment, etc.). 

Did the eviction judgment include a dollar amount for unpaid rent?
You: yes, $4000
Bot: If the $4,000 judgment includes rent that was still owed, the landlord can collect it like any other civil judgment (e.g., garnish wages or bank accounts) after subtracting any security-deposit credit they still owe you under ORS 90.300. 

Did the landlord send you a written accounting (or refund) of your security deposit within 31 days after you gave up possession?
You: not yet
Bot: Under ORS 90.300 (12)-(16) the landlord has 31 days after you delivered possession to mail you: 
� a written accounting of how the security-deposit/prepaid rent was applied, and 
� any refund that�s still owed. 

If the landlord misses that 31-day deadline you can sue for twice the amount wrongfully withheld. 

Has it been more than 31 days since you turned the keys over or the sheriff enforced the lockout?
You: no
Bot: Got it. What exact date did you give the landlord (or sheriff) possession of the unit?
You: 5/18
Bot: Thanks. That means the landlord�s 31-day clock runs through June 18. 

1. If, by June 18, you get either 
� a written accounting plus any refund, or 
� a check for the full deposit, 
they�re in compliance. 

2. If nothing (or only a vague note) arrives by June 18, ORS 90.300(12)-(16) lets you sue for up to twice the deposit/prepaid-rent wrongly withheld, plus the actual balance they still owe. 

What was your security-deposit (and any prepaid rent) amount?
You: $1200
Bot: Thanks. ORS 90.300 requires the landlord to mail the accounting/refund to the �last?known address.� 

Have you given the landlord a written forwarding address (or confirmed that they have your current address)?
You: yes
Bot: Great. Because you gave a forwarding address:

1. Deadline. The landlord has until June 18 (31 days after 5/18) to mail you a written accounting and any refund of the $1,200 deposit. ORS 90.300 (12)-(14).

2. Deposit must be credited. They must apply that $1,200 against the $4,000 rent judgment. If the judgment already includes the full rent without crediting the deposit, you can file a �motion to satisfy or amend judgment� in the eviction case so the court subtracts the $1,200.

3. Penalty. If you get no accounting/refund by June 18, you can sue for twice the amount wrongfully withheld (up to $2,400) plus the refund itself. ORS 90.300 (16).

4. Keep proof. Keep your forwarding-address notice and any envelope postmarks to show the 31-day deadline.

Need anything else about enforcing the deposit credit or the judgment?
You: no
Bot: Understood. If the accounting or refund doesn�t show up by June 18, ORS 90.300 lets you pursue up to twice the $1,200 plus the refund itself. Keep all paperwork and deadlines handy.

Good luck, and take care.","Ive been evicted, what happens now with the rent I owed?","[""Tenant was evicted and owes $4,000 in unpaid rent per the eviction judgment."", ""Tenant gave up possession of the unit on May 18."", ""Tenant�s security deposit (and any prepaid rent) was $1,200."", ""Landlord has not yet provided a written accounting or refund of the deposit."", ""Tenant gave the landlord a forwarding address."", ""Landlord has until June 18 (31 days after possession) to send the accounting and any refund.""]",,"OR"
"You: If ive moved out but there are some things I forgot, can my landlord throw them away?
Bot: Not right away. Under ORS 90.425 your ex-landlord must:

1. Mail (and post) a written notice that lists the items, where they�re stored and a deadline to claim them�at least 8 days after the notice is mailed. 
2. Keep the items somewhere safe during that period (they can charge reasonable storage costs). 
3. Let you pick them up if you respond by the deadline and remove them within 15 days. 

Only after the deadline can the landlord sell, donate or throw away what�s left (and must first pay any surplus sale proceeds to you). They may toss obvious trash, perishables or items worth so little that storage costs exceed $1,000 in value, but they still must send the notice.

If the landlord skips these steps you can sue for up to twice your actual losses (at least one month�s rent).","If ive moved out but there are some things I forgot, can my landlord throw them away?","[""Tenant moved out but left personal belongings behind.""]",,"OR"
"You: I have a month to month tenancy and am trying to give 30 days notice but my landlord is saying that isn't enough warning
Bot: In Oregon a month-to-month renter may end the tenancy �by giving the landlord notice in writing not less than 30 days prior to the date designated in the notice for the termination of the tenancy.� (ORS 90.427 (3)(a) or, for MH/floating-home spaces, ORS 90.620 (1).)

Tips to avoid push-back: 
� Put the notice in writing and date it. 
� Specify your last day of possession. 
� Serve it by personal delivery or by first-class mail (add three days if mailed) � ORS 90.155, 90.160. 

If you do those things, 30 days is all the statute requires; the landlord cannot insist on more.",I have a month to month tenancy and am trying to give 30 days notice but my landlord is saying that isn't enough warning,"[""Tenant is on a month-to-month tenancy."", ""Tenant attempted to give 30 days� notice to terminate the tenancy."", ""Landlord claims 30 days� notice is insufficient.."", ""Tenant has not yet confirmed whether the notice was written, dated, and properly delivered.""]",,"OR"
"You: I am on a month to month lease and my landlord is trying to give me a 30 day no-cause eviction, is that really enough time?
Bot: Under ORS 90.427:

� A landlord may use a 30-day, no-cause notice only during the FIRST year of a month-to-month tenancy. 
� After you have lived there more than one year, the landlord must either: 
� Give at least 90-days� notice AND have a specific �qualifying� reason (sale to a buyer who will live there; the landlord or close family moving in; major repairs; demolition), or 
� Meet the small-owner exception (landlord lives on site and there are no more than two units), which still requires 60 days� notice.

Quick check: Have you been in the unit for less than one year?
You: yes
Bot: In Oregon a landlord can end a month-to-month tenancy with a 30-day, no-cause notice only if ALL of these are true:

1. You have lived there less than one full year (ORS 90.427 (3)(b)). 
2. The notice is in writing, states the termination date and is served correctly under ORS 90.155. 
3. The date chosen is at least 30 consecutive calendar days after the day the notice is served (counted per ORS 90.160). 

If any of those pieces is missing, the notice is defective and you can raise that as a defense. 

Was the notice written and served on you in one of the allowed ways (hand-delivery, mail-and-post, or mail-and-email as your lease allows)?
You: yes
Bot: Yes � if you�ve lived there less than one year, a 30-day written notice that�s properly served is legally sufficient (ORS 90.427 (3)(b)). 

It still must NOT be:
� Retaliation because you asserted a legal right (ORS 90.385); or 
� Discrimination (ORS 90.390). 

Otherwise you must move out by the end date in the notice, pay only rent through that date, and the landlord must refund your deposit (minus lawful deductions) within 31 days. 

Do you think the notice might be retaliatory or discriminatory?
You: I dont know
Bot: In the past six months, have you complained to the landlord (or an agency) about repairs, safety issues, rent calculations�or otherwise exercised a tenant right?
You: no
Bot: Because you�ve lived there less than one year and the written notice was served correctly, a 30-day no-cause notice is lawful under ORS 90.427 (3)(b). Unless you can show:

� Retaliation (e.g., you had just complained or exercised a legal right), or 
� Illegal discrimination against a protected class,

you must move by the termination date and owe rent only through that date. If you suspect discrimination, call Fair Housing Council of Oregon (800-424-3247). Otherwise, focus on getting your security-deposit accounting within 31 days after you turn in the keys.","I am on a month to month lease and my landlord is trying to give me a 30 day no-cause eviction, is that really enough time?","[""Tenant is on a month-to-month lease."", ""Tenant has lived in the unit for less than one year."", ""Landlord served a 30-day no-cause eviction notice."", ""The notice was written and properly served."", ""Tenant has not recently exercised a tenant right or made a complaint."", ""Tenant is unsure whether the notice may be discriminatory.""]",,"OR"
"You: Can my landlord give me a 90 day notice so the property can be demolished?
Bot: Sometimes�but only if the landlord follows ORS 90.427(5)�(6). 

Key points: 
1. You must be on a month-to-month tenancy that�s lasted more than one year. 
2. The written notice has to: 
� Be at least 90 days; 
� State that the unit will be demolished and give facts showing that�s truly planned �within a reasonable time.� 
3. At the moment the notice is delivered, the landlord must also hand you relocation money equal to one month�s rent (unless the landlord owns four or fewer Oregon rentals). 
4. If any of those items are missing or wrong, the notice is defective and you don�t have to move.

Have you been there more than a year?
You: yes
Bot: Thanks. When the 90-day notice was handed to you, did the landlord also give you a payment equal to one month�s rent for relocation?
You: it was given to me 15 days ago, I have not received any relocation funds
Bot: ORS 90.427(6)(a)(C) says a 90-day demolition notice is valid only if the landlord gives you (at the same time) a relocation payment equal to one month�s rent�unless the landlord owns four or fewer Oregon rentals. No payment = defective notice and you don�t have to move.

Do you know whether your landlord owns more than four Oregon rental units?
You: I think they do
Bot: Because you haven�t received the one-month-rent relocation payment, the 90-day notice is invalid under ORS 90.427(6)(a)(C)�unless your landlord owns four or fewer Oregon rentals. 

If they do own more than four: 
� You can stay and keep paying rent as usual; 
� The notice won�t support an eviction; and 
� If the landlord files for possession you have a defense (and can counter-claim for up to 3 � your rent plus any actual damages: ORS 90.427(9)). 

Would you like help with a short written reply telling the landlord the notice is defective?
You: yes please
Bot: Sample letter (edit the bracketed parts)

Date: ____________

To: [Landlord�s name & address]

Re: 90-day notice dated ____________

I received your 90-day termination notice on ____________. 
Because you did not deliver, at the same time, the relocation payment of one month�s rent required by ORS 90.427(6)(a)(C), the notice is defective and void. I will continue to occupy the dwelling and pay rent as usual.

Please confirm in writing that you have withdrawn the notice. 
If you disagree, kindly explain your position in writing.

Sincerely,

________________________ 
[Tenant�s name] 
[Rental address]",Can my landlord give me a 90 day notice so the property can be demolished?,"[""Tenant is on a month-to-month tenancy and has lived in the unit more than one year."", ""Tenant received a 90-day termination notice stating the property will be demolished."", ""Landlord did not provide relocation assistance (equal to one month�s rent) at the time the notice was served."", ""Tenant believes landlord owns more than four Oregon rental units.""]",,"OR"
"You: My landlord wants to evict me with 90 day notice because the foundation needs to be repaired, can she do that?
Bot: Have you lived in the unit for more than one year?
You: yes
Bot: Maybe. After you�ve lived there a year, ORS 90.427 lets a landlord end a month-to-month tenancy only for a �qualifying landlord reason.� 
Repairs count only if BOTH are true: 
1) The place is already unsafe or unfit �OR will be unsafe/unfit while the work is done; and 
2) The landlord serves a written 90-day notice that: 
� States those facts, 
� Names the repair, and 
� Hands you relocation money equal to one month�s rent when the notice is delivered (landlords who own four or fewer units are exempt from paying the money).

If any of those pieces are missing, the notice is defective and you can treat it as invalid, raise it as a defense in an eviction case and sue for three months� rent plus actual damages (ORS 90.427 (9)). A fixed-term lease can�t be cut short for this reason.

Ask for proof the work makes the unit unsafe and check whether the landlord owns more than four rentals. If the notice or payment is wrong, put your objection in writing right away.","My landlord wants to evict me with 90 day notice because the foundation needs to be repaired, can she do that?","[""Tenant has lived in the unit for more than one year."", ""Landlord issued a 90-day notice claiming the foundation needs repair."",]"
"You: My landlord wants to evict me out of the duplex she lives in the other half of so her uncle can move in, can she do that?
Bot: To sort this out, I need one detail: How long have you lived in the duplex, and is your agreement month-to-month or a fixed-term lease?
You: I have lived there for 14 months and am month to month
Bot: Yes�because she lives in the other unit of a duplex that has only two dwellings, ORS 90.427 (8)(a)(B) lets her end a month-to-month tenancy �without cause� once you�ve been there over a year. BUT she must:

1. Give you a written termination notice at least 60 days before the move-out date. 
2. State the exact termination date and serve the notice properly (hand-delivery, or mail + attachment, etc., per ORS 90.150/90.155). 
3. Not raise the rent after giving the notice. 

If the notice is incomplete, served the wrong way, or gives fewer than 60 days, it�s invalid and you can stay until a proper notice/court eviction is done. No relocation payment is required in a duplex owner-occupied situation.","My landlord wants to evict me out of the duplex she lives in the other half of so her uncle can move in, can she do that?","[""Tenant has lived in a duplex for 14 months on a month-to-month lease."", ""Landlord lives in the other unit of the duplex, which contains only two dwellings.""]",,"OR"
"You: I rent a condo owned by somebody who does not own the building, just the unit, and they want to sell it, do I have any rights?
Bot: Selling the condo doesn�t automatically end your tenancy. 
� If you have a fixed-term lease, the buyer must honor it through the end date. 
� If you�re on a month-to-month, the owner can end the tenancy only with a �qualifying landlord reason� notice under ORS 90.427�selling to a buyer who will move in counts. That notice must: 
� Be in writing at least 90 days before the move-out date; 
� Include proof of the sale offer; and 
� Include a relocation payment equal to one month�s rent, unless the owner owns four or fewer rental units in Oregon. 
A defective notice (wrong dates, no payment, missing proof, etc.) is void.

Do you have a fixed-term lease or a month-to-month agreement?
You: I have a fixed term lease that ends in 5 months
Bot: Under ORS 90.427(4)�(5) a fixed-term lease survives the sale. Whoever buys the unit steps in as your new landlord and must honor every term�rent, rules and the remaining 5 months�unless you agree in writing to leave earlier.

Only three ways you could be forced out sooner:
1. You breach the lease and the landlord (old or new) proves a valid �for-cause� ground (ORS 90.392-.398). 
2. The fixed term�s ending date falls inside your first year of occupancy and you get a 30-day notice (� 90.427(4)(b)). 
3. You accept cash-for-keys or another voluntary agreement (get it in writing).

Otherwise, when the 5 months expire the tenancy either ends or rolls into month-to-month�then a new owner who wants to move in could give the 90-day �buyer-move-in� notice plus one-month relocation payment (ORS 90.427(5)-(6)).

Are you in your first year of living there, or have you been there longer?
You: this is my second 1 year lease
Bot: Because you�re past your first year and have 5 months left on a fixed-term lease:

1. ORS 90.427(4)(a) � The lease runs to its stated end date even if the unit sells. The buyer simply becomes your new landlord.

2. The seller or buyer cannot end the tenancy early unless you violate the lease or you voluntarily sign an early-move-out agreement.

3. When the 5 months expire the tenancy turns into month-to-month unless you and the new owner sign a new fixed-term. 
� At that point a buyer who wants to move in could give a 90-day �buyer-move-in� notice and pay you one month�s rent (ORS 90.427(5)-(6)), unless the buyer owns four or fewer rentals. 

4. Any termination notice you receive before the lease ends is invalid if it cites only the sale.

Has the current owner asked you to move or to sign anything shortening your lease?
You: no, just mentioned that if it sells I may have to leave
Bot: You don�t have to go. ORS 90.427(4)(a) says a fixed-term lease survives a sale, and you�re already past your first year in the unit. The buyer simply becomes your new landlord and must honor every term until the lease ends in five months.

After the lease ends:
� It rolls into month-to-month unless you and the new owner sign another fixed term. 
� If the new owner wants to move in, they must give you a written 90-day �buyer-move-in� notice and pay you one month�s rent with the notice (ORS 90.427(5)-(6)), unless the buyer owns four or fewer Oregon rentals.

Any notice that tells you to leave before the lease expires�just because of the sale�is invalid. You can refuse to sign an early-move-out agreement.","I rent a condo owned by somebody who does not own the building, just the unit, and they want to sell it, do I have any rights?","[""Tenant rents a condo from a unit owner who does not own the entire building."", ""Tenant is on a fixed-term lease with 5 months remaining."", ""Tenant is in their second one-year lease (past the first year of occupancy)."", ""No early move-out has been formally requested; tenant does not have to leave due to sale.""]",,"OR"
